State;Up;Down;Left;Right;Stay
-1,-1|2|3|0010;-33.48459;-46.06121;-49.32421;-45.81457;-50.73643
-1,0|2|4|0000;-43.31619;-41.33804;-43.79786;-43.54462;-43.75822
-1,-1|1|3|1000;-43.67314;-61.99051;-73.97669;-40.19117;-43.79207
-1,1|1|3|0100;-53.79752;-45.75595;-75.33813;-38.38227;-46.32181
-1,1|2|3|0001;-49.52076;-53.14771;-53.26957;-55.68945;-54.06688
0,1|1|2|0011;-97.15115;-36.15839;-40.24909;-39.36827;-40.32603
0,1|0|2|0011;-99.99693;-27.76467;-99.99893;-99.99935;-99.99986
-1,0|2|2|0101;-49.8579;-51.054;-46.24262;-52.17415;-52.34683
-1,0|1|2|0101;-50.14933;-49.94532;-97.65892;-49.03082;-49.78359
-1,-1|1|2|1001;-57.14296;-76.19917;-64.49839;-59.1654;-60.07803
-1,0|1|2|1001;-48.50157;-49.21007;-97.26585;-48.16921;-49.50683
-1,0|0|2|1001;-99.99522;-37.92917;-99.99003;-99.98753;-99.8912
0,0|0|2|1001;-20;-20;-20;0;0
-1,1|2|2|0110;-53.832;-59.03896;-57.1876;-48.60458;-60.91842
-1,1|2|4|0000;-47.11456;-48.87032;-48.97444;-49.33044;-54.97595
0,-1|2|4|0000;-41.55112;-45.65965;-47.5163;-47.00986;-50.12594
1,0|1|3|1000;-44.2339;-28.92328;-42.24854;-70.69553;-41.54872
0,1|0|3|0100;-99.99998;-112.1015;-33.52628;-41.26232;-110.6271
1,-1|1|1|1011;-88.60725;-83.16026;-84.50983;-86.07193;-85.94603
0,-1|0|3|0010;-44.18375;-102.266;-99.73436;-35.90808;-99.92572
-1,-1|2|2|0110;-38.36539;-37.55425;-36.74505;-36.97428;-39.36565
-1,0|2|3|0100;-41.79692;-46.8149;-45.25329;-45.39223;-44.90843
-1,0|2|3|1000;-42.13347;-42.50281;-41.8281;-34.5988;-42.49275
-1,1|2|3|0010;-46.18826;-45.3671;-49.68705;-43.60114;-45.5718
